YEAR,PSP,SITE,LAYER,C_STOCKS,UTMX,UTMY,STAND_AGE,BASAL_AREA,DOM_HEIGHT,SPECIES_RICHNESS,SHANNON_INDEX,GAP_FRACTION,CANOPY_COVER,ELEVATION,SLOPE,ASPECT,CONDITION,LAYER_NUM,CON_NUM
2013,1,1,L,2.481934243,541295.8786,2280448.462,29,32.47145531,26.49,10,1.501843916,9.065643,90.934357,2081.139893,4.063799858,153.576004,Managed,1,1
2013,1,1,FH,17.21847455,541295.8786,2280448.462,29,32.47145531,26.49,10,1.501843916,9.065643,90.934357,2081.139893,4.063799858,153.576004,Managed,2,1
2013,1,2,L,2.112678253,541295.6542,2280497.82,29,21.27356523,22.84,9,1.974338585,9.065643,90.934357,2085,5.104199886,151.6560059,Managed,1,1
2013,1,2,FH,13.51161049,541295.6542,2280497.82,29,21.27356523,22.84,9,1.974338585,9.065643,90.934357,2085,5.104199886,151.6560059,Managed,2,1
2013,1,3,L,2.457286666,541334.7038,2280421.221,30,26.88309435,23.7,12,2.136042392,10.371567,89.628433,2079.23999,4.691500187,124.3570023,Managed,1,1
2013,1,3,FH,17.15499042,541334.7038,2280421.221,30,26.88309435,23.7,12,2.136042392,10.371567,89.628433,2079.23999,4.691500187,124.3570023,Managed,2,1
2013,1,4,L,1.908724993,541247.9859,2280434.179,29,24.95038741,23.32,8,1.884576878,11.178711,88.821289,2082.370117,4.873000145,139.2380066,Managed,1,1
2013,1,4,FH,17.66679955,541247.9859,2280434.179,29,24.95038741,23.32,8,1.884576878,11.178711,88.821289,2082.370117,4.873000145,139.2380066,Managed,2,1
2013,2,1,L,2.017289632,542296.9318,2280451.263,22,15.70079986,22.936,4,1.181764362,24.368355,75.631645,2016.709961,14.53429985,251.1900024,Managed,1,1
2013,2,1,FH,2.850254171,542296.9318,2280451.263,22,15.70079986,22.936,4,1.181764362,24.368355,75.631645,2016.709961,14.53429985,251.1900024,Managed,2,1
2013,2,2,L,1.600517452,542301.6097,2280497.313,21,36.06287221,22.97714286,3,0.63903186,24.368355,75.631645,2011.969971,12.0941,342.5559998,Managed,1,1
2013,2,2,FH,16.5539382,542301.6097,2280497.313,21,36.06287221,22.97714286,3,0.63903186,24.368355,75.631645,2011.969971,12.0941,342.5559998,Managed,2,1
2013,2,3,L,1.636801375,542338.3535,2280428.015,22,15.17895833,18,2,0.693147181,11.866776,88.133224,2020.329956,9.30850029,325.0289917,Managed,1,1
2013,2,3,FH,4.749934497,542338.3535,2280428.015,22,15.17895833,18,2,0.693147181,11.866776,88.133224,2020.329956,9.30850029,325.0289917,Managed,2,1
2013,2,4,L,1.849519887,542258.4255,2280433.57,25,25.10943454,22.12,5,0.847049069,73.717499,26.282501,2016.150024,10.63549995,290.0299988,Managed,1,1
2013,2,4,FH,12.62567811,542258.4255,2280433.57,25,25.10943454,22.12,5,0.847049069,73.717499,26.282501,2016.150024,10.63549995,290.0299988,Managed,2,1
2013,3,1,L,1.871749897,543295.194,2280445.815,17,19.98450347,18.85633333,3,0.459747279,13.396416,86.603584,2062.47998,0.69749999,209.0319977,Managed,1,1
2013,3,1,FH,7.174530886,543295.194,2280445.815,17,19.98450347,18.85633333,3,0.459747279,13.396416,86.603584,2062.47998,0.69749999,209.0319977,Managed,2,1
