YEAR,PSP,SITE,LAYER,C_STOCKS,UTMX,UTMY,STAND_AGE,BASAL_AREA,DOM_HEIGHT,SPECIES_RICHNESS,SHANNON_INDEX,GAP_FRACTION,CANOPY_COVER,ELEVATION,SLOPE,ASPECT,CONDITION,LAYER_NUM,CON_NUM
2013,25,2,L,1.163019471,541753,2278593,31,20.26204149,16.21,4,0.813111763,19.702141,80.297859,2038.939941,4.15019989,283.375,Managed,1,1
2013,2,3,FH,4.749934497,542338.3535,2280428.015,22,15.17895833,18,2,0.693147181,11.866776,88.133224,2020.329956,9.30850029,325.0289917,Managed,2,1
2013,27,2,L,2.223381917,541708,2280230,28,39.71775001,26.54,5,1.026846472,5.616035,94.383965,2086.26001,2.898200035,245.7709961,Managed,1,1
2013,16,2,FH,11.32292987,542670.2685,2279365.966,80,29.8497436,22.756875,12,2.140337505,0.306282,99.693718,2007.920044,20.39279938,106.2460022,Unmanaged,2,2
2013,41,1,L,1.144970533,541926,2278717,80,6.3156946,5.95,2,0.140760122,55.214558,44.785442,2039.609985,8.347700119,113.4469986,Unmanaged,1,2
2013,31,4,L,1.832222389,542261.9134,2279666.031,20,35.5434295,20.97,7,1.298024437,1.782326,98.217674,2046.939941,14.42990017,281.1239929,Managed,1,1
2013,33,3,FH,8.099327273,542124.5322,2279179.007,16,26.7698956,15.43,6,0.573072388,8.090118,91.909882,2055.199951,1.824499965,67.7990036,Managed,2,1
2013,41,4,L,1.035220533,541889,2278701,80,6.580151103,5.76,1,0,44.483845,55.516155,2042.060059,6.487800121,98.84860229,Unmanaged,1,2
2013,22,1,L,2.151490597,541294.9172,2278447.317,16,15.3894606,23.017,3,0.253067332,67.75,32.25,2016.310059,37.89820099,93.39379883,Managed,1,1
2013,12,3,FH,16.3811185,542706.5997,2279544.79,15,31.35676608,14.3,4,0.521657425,2.478836,97.521164,2063.090088,10.94299984,125.6790009,Managed,2,1
2013,12,4,L,2.621356916,542625.9192,2279557.868,15,33.20970434,14.97328571,5,0.869049355,1.868782,98.131218,2067.310059,4.919300079,207.503006,Managed,1,1
2013,35,1,FH,7.14944633,542080.0246,2279017.096,14,18.96158843,14.10235294,6,1.204710762,33.172615,66.827385,2041.349976,9.18200016,243.1869965,Managed,2,1
2013,27,3,L,2.27484682,541743,2280163,28,29.81575632,21.21,3,0.815849865,8.941483,91.058517,2089.610107,1.667999983,16.61179924,Managed,1,1
2013,40,3,FH,0,541477.9141,2279519.609,5,2.085061027,5.6,2,0.135793959,59.930969,40.069031,2070.790039,8.039099693,190.345993,Managed,2,1
2013,18,4,L,1.795294229,542129.5111,2279062.262,14,21.73622797,14.87,4,0.760457866,8.485504,91.514496,2049.080078,6.019299984,183.4909973,Managed,1,1
2013,4,1,FH,15.52715639,541295.3921,2279450.545,2,5.771587932,7.1,2,0.184907399,97.740113,2.259887,2062.929932,2.724600077,194.9839935,Managed,2,1
2013,1,4,L,1.908724993,541247.9859,2280434.179,29,24.95038741,23.32,8,1.884576878,11.178711,88.821289,2082.370117,4.873000145,139.2380066,Managed,1,1
2013,40,1,FH,8.098078434,541437.3336,2279544.103,5,6.3156946,5.95,2,0.140760122,55.214558,44.785442,2072.610107,6.476200104,196.197998,Managed,2,1
2013,34,4,FH,11.32498861,542344,2278943,15,35.27344409,18.68,5,0.195035276,7.919746,92.080254,2017.079956,6.994900227,41.92699814,Managed,2,1
2013,29,2,L,2.403960431,542053,2280389,26,29.38579009,25.51714286,3,0.73562194,19.817352,80.182648,2030.569946,15.60910034,43.48630142,Managed,1,1
2013,10,3,FH,10.77004873,542209.6988,2279541.001,19,33.16394957,20.31,5,0.875306929,8.491508,91.508492,2050.629883,9.098400116,290.7030029,Managed,2,1
