"","YEAR","PSP","SITE","LAYER","C_STOCKS","UTMX","UTMY","STAND_AGE","BASAL_AREA","DOM_HEIGHT","SPECIES_RICHNESS","SHANNON_INDEX","GAP_FRACTION","CANOPY_COVER","ELEVATION","SLOPE","ASPECT","CONDITION","LAYER_NUM","CON_NUM"
"1","2018",25,4,"FH",4.23205038,541704,2278537,36,22.08256892,23.24,7,1.595536884,18.5975,64.058701,2021.199951,28.39970016,266.0650024,"Managed","2","1"
"2","2018",11,1,"L",2.10312599,542424.9741,2279580.051,23,33.25194004,22.13,10,1.634406239,10.6725,68.461502,2063.469971,1.121199965,253.8480072,"Managed","1","1"
"3","2018",6,3,"L",1.700374,542213.9402,2279804.407,25,27.36666886,23.86,5,1.221309179,13.58,81.578903,2053.27002,11.64710045,220.4799957,"Managed","1","1"
"4","2018",35,4,"FH",7.934364541,542037.1376,2278999.725,19,26.43824969,19.81,7,1.462822045,11.1775,60.204102,2030.97998,12.22379971,237.4519959,"Managed","2","1"
"5","2018",3,1,"L",2.649429655,543295.194,2280445.815,22,25.74934555,23.63,5,0.94634734,14.8675,54.9091,2062.47998,0.69749999,209.0319977,"Managed","1","1"
"6","2018",8,2,"L",1.813992068,542675.9772,2279871.524,85,16.39832825,16.37,7,1.236759557,13.21,61.259499,2062.850098,1.511800051,327.427002,"Unmanaged","1","2"
"7","2018",10,1,"FH",1.992120299,542171.8052,2279569.349,24,28.67837019,24.35,6,1.105488071,12.365,64.900703,2043.800049,11.36480045,307.79599,"Managed","2","1"
"8","2018",26,1,"L",2.124373333,541414,2280251,35,47.05330214,27.35,13,1.869791439,11.05,80.322601,2083.620117,3.347899914,334.9639893,"Managed","1","1"
"9","2018",27,3,"FH",4.407222811,541743,2280163,33,33.94913014,22.43,7,1.543934136,9.88,74.669601,2089.610107,1.667999983,16.61179924,"Managed","2","1"
"10","2018",23,4,"FH",3.932757212,542255.8178,2278427.77,85,36.55692693,21.11,9,1.85237307,11.24,61.7117,1987.27002,5.452300072,173.7669983,"Unmanaged","2","2"
"11","2018",34,1,"FH",3.96673163,542381,2278960,20,49.4939073,19.99,8,1.073636604,10.195,74.4048,2015.550049,7.591199875,356.928009,"Managed","2","1"
"12","2018",30,2,"L",2.760801911,542146,2279941,30,38.09542376,25.09,7,1.422114665,10.4725,73.684196,2054.100098,8.336000443,73.92350006,"Managed","1","1"
"13","2018",41,3,"L",3.5607561,541968,2278692,85,31.2780116,21.81,13,2.114091232,12.84,5.3079,2030.939941,10.24429989,90.69270325,"Unmanaged","1","2"
"14","2018",41,1,"L",1.361575313,541926,2278717,85,48.73708585,23.38,9,1.793381394,12.2275,10.2506,2039.609985,8.347700119,113.4469986,"Unmanaged","1","2"
"15","2018",21,2,"L",2.03632,543298.5617,2279494.387,20,23.57680856,21.15,5,1.007426456,13.7625,71.527802,1989.420044,15.71539974,300.7630005,"Managed","1","1"
"16","2018",23,3,"L",1.56264,542333.1686,2278414.794,85,36.87196977,24.13,9,1.80506687,8.6875,53.676498,1984.349976,4.73029995,133.2660065,"Unmanaged","1","2"
"17","2018",10,2,"FH",2.213877351,542172.21,2279616.053,24,30.02675353,23.99,7,1.372741345,11.67,56.996601,2038.369995,16.79439926,288.8739929,"Managed","2","1"
"18","2018",17,3,"FH",4.220834988,541951.1904,2279034.927,19,25.15569449,20.55,8,1.765017234,10.0825,54.591801,2015.589966,27.5855999,204.7369995,"Managed","2","1"
"19","2018",12,4,"FH",3.769322088,542625.9192,2279557.868,20,36.03261475,19.76,7,0.968578235,12.05,70.927299,2067.310059,4.919300079,207.503006,"Managed","2","1"
"20","2018",16,4,"FH",4.839974489,542627.491,2279305.654,9,15.01147218,15.69,9,1.704452502,10.74,32.777802,2022.579956,17.32559967,24.35560036,"Managed","2","1"
"21","2018",31,4,"L",1.812169114,542261.9134,2279666.031,25,32.76353234,23.41,4,1.100562042,11.3975,85.3591,2046.939941,14.42990017,281.1239929,"Managed","1","1"
"22","2018",6,2,"FH",5.178941744,542171.788,2279869.487,30,34.29780765,25.25,10,1.773195638,10.9625,74.094704,2055.459961,3.346800089,189.7100067,"Managed","2","1"
"23","2018",31,3,"FH",2.766261541,542340.0747,2279660.078,25,25.91380007,24.04,7,1.163545418,11.88,77.606201,2057.530029,5.89139986,288.9710083,"Managed","2","1"
"24","2018",40,4,"FH",2.28911872,541399.7451,2279528.64,10,25.92212529,11.192,3,0.105052116,10.66,4.2079,2069.389893,6.970099926,196.2709961,"Managed","2","1"
"25","2018",30,4,"FH",5.236576096,542094,2279894,30,34.72579075,26.82,7,1.61684134,10.0675,56.947201,2059.840088,5.53550005,72.31359863,"Managed","2","1"
"26","2018",5,2,"FH",2.883813333,541923.85,2279870.13,6,8.493217199,7.47,5,1.043680196,17.06,1.1142,2070.97998,17.68090057,145.503006,"Managed","2","1"
"27","2018",1,1,"L",2.569612954,541295.8786,2280448.462,34,39.82378274,28.16,13,1.885399352,10.7275,83.854202,2081.139893,4.063799858,153.576004,"Managed","1","1"
"28","2018",27,3,"L",2.070627659,541743,2280163,33,33.94913014,22.43,7,1.543934136,9.88,74.669601,2089.610107,1.667999983,16.61179924,"Managed","1","1"
"29","2018",23,4,"L",3.634290855,542255.8178,2278427.77,85,36.55692693,21.11,9,1.85237307,11.24,61.7117,1987.27002,5.452300072,173.7669983,"Unmanaged","1","2"
"30","2018",5,1,"FH",1.03096,541927.22,2279830.47,6,10.19368276,7.68,3,0.805200017,11.0725,0,2068.51001,13.89039993,79.11380005,"Managed","2","1"
"31","2018",41,2,"FH",3.809028759,541933,2278762,85,24.88697051,21.41,10,1.733205107,11.81,13.2723,2038.579956,15.40030003,89.4489975,"Unmanaged","2","2"
"32","2018",12,4,"L",2.315269464,542625.9192,2279557.868,20,36.03261475,19.76,7,0.968578235,12.05,70.927299,2067.310059,4.919300079,207.503006,"Managed","1","1"
"33","2018",21,2,"FH",0,543298.5617,2279494.387,20,23.57680856,21.15,5,1.007426456,13.7625,71.527802,1989.420044,15.71539974,300.7630005,"Managed","2","1"
"34","2018",13,1,"FH",6.902393876,541914.8537,2279318.375,24,20.88924281,23.84,5,1.132578803,14.6575,78.061203,2019.089966,5.627900124,248.1380005,"Managed","2","1"
"35","2018",2,1,"L",1.914486725,542296.9318,2280451.263,27,22.96743384,25.69,6,1.485902278,13.965,56.4202,2016.709961,14.53429985,251.1900024,"Managed","1","1"
"36","2018",23,2,"L",1.166193829,542304.4293,2278490.088,85,27.40678307,20.24,12,1.762472396,10.4025,65.495201,1991.560059,6.904099941,170.2140045,"Unmanaged","1","2"
"37","2018",28,1,"L",1.17504,541280,2279785,32,44.25079337,27.79,8,1.461813507,12.0625,59.362499,2085.600098,10.70250034,211.5359955,"Managed","1","1"
"38","2018",31,2,"L",1.640183723,542305.1667,2279730.697,25,24.89557062,21.74,5,1.084417173,10.625,67.760597,2055.459961,5.178599834,248.2100067,"Managed","1","1"
"39","2018",8,4,"FH",5.528055998,542631.1271,2279807.222,20,31.59376032,18.72,9,1.879552218,12.455,74.545502,2063.320068,3.601099968,318.144989,"Managed","2","1"
"40","2018",39,2,"L",1.4328416,541983,2279747,12,9.612291772,11.81,5,1.243030903,21.7525,1.4228,2063.149902,11.10359955,85.41929626,"Managed","1","1"
"41","2018",33,2,"FH",2.887627525,542090.8991,2279253.737,21,38.40877976,21.25,5,0.89284366,10.8175,67.887299,2051.219971,8.651399612,268.473999,"Managed","2","1"
"42","2018",36,1,"FH",1.616922663,542515,2278749,17,19.41099387,16.04,6,0.969716472,10.11,36.956501,2008.75,9.727999687,85.11470032,"Managed","2","1"
"43","2018",18,4,"FH",5.111367386,542129.5111,2279062.262,19,31.04563094,18.91,6,1.055860554,10.2875,64.8536,2049.080078,6.019299984,183.4909973,"Managed","2","1"
